protocol,parameter,column_norm,rank,condition_number,logdet,gate_passed
near_threshold_amplitude_width_sweep,Rc,7.401034446680314e-15,0,1e+300,-165.78612669557128,False
near_threshold_amplitude_width_sweep,Ea,3.878775687163078e-14,0,1e+300,-165.78612669557128,False
near_threshold_amplitude_width_sweep,Rth,0.0,0,1e+300,-165.78612669557128,False
near_threshold_amplitude_width_sweep,h_sub,0.0,0,1e+300,-165.78612669557128,False
near_threshold_amplitude_width_sweep,Tsw,0.0,0,1e+300,-165.78612669557128,False
near_threshold_amplitude_width_sweep,width,0.0,0,1e+300,-165.78612669557128,False
branch_memory_minor_loop,Rc,5.592380134667248e-25,0,1e+300,-165.78612669557128,False
branch_memory_minor_loop,Ea,2.0055106010685587e-14,0,1e+300,-165.78612669557128,False
branch_memory_minor_loop,Rth,0.0,0,1e+300,-165.78612669557128,False
branch_memory_minor_loop,h_sub,0.0,0,1e+300,-165.78612669557128,False
branch_memory_minor_loop,Tsw,0.0,0,1e+300,-165.78612669557128,False
branch_memory_minor_loop,width,0.0,0,1e+300,-165.78612669557128,False
rc_oscillator_frequency_readout,Rc,0.0,0,1e+300,-165.78612669557128,False
rc_oscillator_frequency_readout,Ea,4.821553547288559e-14,0,1e+300,-165.78612669557128,False
rc_oscillator_frequency_readout,Rth,0.0,0,1e+300,-165.78612669557128,False
rc_oscillator_frequency_readout,h_sub,0.0,0,1e+300,-165.78612669557128,False
rc_oscillator_frequency_readout,Tsw,0.0,0,1e+300,-165.78612669557128,False
rc_oscillator_frequency_readout,width,0.0,0,1e+300,-165.78612669557128,False
combined_d_optimal_candidate,Rc,8.220519957858946e-15,0,1e+300,-165.78612669557128,False
combined_d_optimal_candidate,Ea,6.457907045185176e-14,0,1e+300,-165.78612669557128,False
combined_d_optimal_candidate,Rth,0.0,0,1e+300,-165.78612669557128,False
combined_d_optimal_candidate,h_sub,0.0,0,1e+300,-165.78612669557128,False
combined_d_optimal_candidate,Tsw,0.0,0,1e+300,-165.78612669557128,False
combined_d_optimal_candidate,width,0.0,0,1e+300,-165.78612669557128,False
