operating_point_id,strategy,T_sw_prior_width_K,protocol,observation_count,median_relative_error,success_rate,error_ci95_low,error_ci95_high,error_ci95_width,abstention_rate,risk_index,calibration_resource,protocol_resource,observation_resource,normalized_resource_index,locked_risk_qualified,pareto_nondominated,pareto_bootstrap_frequency,stable_nondominated
cal_002_ltp_n16,calibration_only,0.02,ltp_ltd,16,0.05290356394129979,1.0,0.051362683438155136,0.056498951781970654,0.005136268343815517,0.0,0.1479245283018868,1.0,0.0,0.14285714285714285,0.4357142857142857,True,True,1.0,True
cal_005_ltp_n16,calibration_only,0.05,ltp_ltd,16,0.10580712788259958,1.0,0.10272536687631027,0.11299790356394131,0.010272536687631034,0.0,0.2958490566037736,0.7657757302033369,0.0,0.14285714285714285,0.34202457779562045,True,True,1.0,True
cal_010_ltp_n16,calibration_only,0.1,ltp_ltd,16,0.21161425576519916,0.0,0.20545073375262055,0.22599580712788261,0.02054507337526207,1.0,0.9916981132075472,0.588591910067779,0.0,0.14285714285714285,0.2711510497413973,False,True,1.0,True
joint_002_multi_n64,joint_calibration_protocol_design,0.02,multi_pulse_to_ltp_ltd,64,0.036492662473794554,1.0,0.03542976939203355,0.03897274633123691,0.003542976939203357,0.0,0.10203773584905662,1.0,1.0,1.0,1.0,True,True,1.0,True
joint_005_multi_n32,joint_calibration_protocol_design,0.05,multi_pulse_to_ltp_ltd,32,0.07939756645775994,1.0,0.07708501597840771,0.08479351757624849,0.007708501597840783,0.0,0.22200484601781423,0.7657757302033369,1.0,0.42857142857142855,0.7634531492241918,True,False,0.0,False
joint_010_multi_n32,joint_calibration_protocol_design,0.1,multi_pulse_to_ltp_ltd,32,0.1587951329155199,0.0,0.15417003195681542,0.16958703515249698,0.015417003195681567,1.0,0.8440096920356285,0.588591910067779,1.0,0.42857142857142855,0.6925796211699687,False,False,0.0,False
proto_100_ltp_n16,protocol_only,1.0,ltp_ltd,16,1.1638784067085957,0.0,1.129979035639413,1.2222222222222223,0.09224318658280928,1.0,3.626666666666668,0.0,0.0,0.14285714285714285,0.03571428571428571,False,True,1.0,True
proto_100_multi_n16,protocol_only,1.0,multi_pulse_to_ltp_ltd,16,1.2222222222222223,0.0,1.1991614255765202,1.2222222222222223,0.023060796645702153,1.0,3.690006988120196,0.0,1.0,0.14285714285714285,0.3857142857142857,False,False,0.0,False
proto_100_short_n16,protocol_only,1.0,short_pulse_to_ltp_ltd,16,1.2222222222222223,0.0,1.1991614255765202,1.2222222222222223,0.023060796645702153,1.0,3.690006988120196,0.0,0.5384615384615384,0.14285714285714285,0.22417582417582416,False,False,0.198,False
seq_005_multi_n16,sequential_calibration_then_protocol,0.05,multi_pulse_to_ltp_ltd,16,0.11228511530398325,1.0,0.10901467505241091,0.11991614255765201,0.010901467505241097,0.0,0.31396226415094347,0.7657757302033369,1.0,0.14285714285714285,0.6920245777956204,True,False,0.0,False
seq_005_short_n16,sequential_calibration_then_protocol,0.05,short_pulse_to_ltp_ltd,16,0.11228511530398325,1.0,0.10901467505241091,0.11991614255765201,0.010901467505241097,0.0,0.31396226415094347,0.7657757302033369,0.5384615384615384,0.14285714285714285,0.5304861162571589,True,False,0.0,False
seq_010_short_n16,sequential_calibration_then_protocol,0.1,short_pulse_to_ltp_ltd,16,0.2245702306079665,0.0,0.21802935010482183,0.23983228511530402,0.021802935010482194,1.0,1.027924528301887,0.588591910067779,0.5384615384615384,0.14285714285714285,0.4596125882029357,False,False,0.0,False
