case_id,axis,forward_class,scientific_vote,current_A,terminal_power_W,bulk_power_W,contact_power_W,relative_power_imbalance,relative_current_imbalance,source_resistance_mapping_error,finite,steps,dt_s,duration_s,final_voltage_V,final_current_A,maximum_current_residual_A,relative_circuit_energy_imbalance,domain_multiplier,mesh_level,timestep_divisor,extruded_2d,grid_shape,cell_count,source_cell_count,Tmean_rise_K,Tmax_rise_K,final_enthalpy_J,cumulative_outward_heat_J,maximum_enthalpy_imbalance,cumulative_enthalpy_imbalance,maximum_boundary_flux_disagreement,clip_count,latent_heat_J_m3
source_series_electrical_ledger,electrical,analytic_manufactured,False,0.00023178805873894448,0.0027814567048673336,0.002767488021782102,1.3968683085231778e-05,4.202493841322213e-17,0.0,1.330233207545514,,,,,,,,,,,,,,,,,,,,,,,,
fixed_R_RC_dt10,time,manufactured_circuit,False,,,,,,,,True,30,1.7399999999999997e-07,5.219999999999999e-06,9.443274821986103,0.0001824031949272092,1.5720931501039814e-18,0.007999599072289462,,,,,,,,,,,,,,,,
fixed_R_RC_dt20,time,manufactured_circuit,False,,,,,,,,True,60,8.699999999999998e-08,5.219999999999999e-06,9.472005881824751,0.0001829581546426686,4.228388472693467e-18,0.004097434529616569,,,,,,,,,,,,,,,,
fixed_R_RC_dt40,time,manufactured_circuit,False,,,,,,,,True,120,4.349999999999999e-08,5.219999999999999e-06,9.48608651130586,0.00018323013145710596,8.61940727125976e-18,0.0020741156694156623,,,,,,,,,,,,,,,,
thermal_d1.0_m2_dt20_finite_width,thermal,unit_load_linear_thermal_preflight,False,,,,,,,,True,60,8.699999999999998e-08,5.219999999999999e-06,,,,,1.0,2,20,False,"[9, 16, 16]",2304,16,65911.17885667738,70222.72287356734,1.200347716110865e-06,4.019652283889082e-06,6.9388939039072765e-15,5.030272292123266e-15,1.7187183243376228e-15,0,0.0
thermal_d1.5_m2_dt20_finite_width,thermal,unit_load_linear_thermal_preflight,False,,,,,,,,True,60,8.699999999999998e-08,5.219999999999999e-06,,,,,1.5,2,20,False,"[9, 16, 16]",2304,16,81876.81776785736,86364.45803201858,2.538806471745879e-06,2.681193528254036e-06,1.1324274851176725e-14,8.113342406650453e-15,1.4447142796044854e-15,0,0.0
thermal_d2.0_m2_dt20_finite_width,thermal,unit_load_linear_thermal_preflight,False,,,,,,,,True,60,8.699999999999998e-08,5.219999999999999e-06,,,,,2.0,2,20,False,"[9, 16, 16]",2304,16,98456.00754525207,103110.82811646727,3.764690933948019e-06,1.4553090660519377e-06,6.3282712403634325e-15,4.05667120332521e-15,1.8520808974332984e-15,0,0.0
thermal_d2.0_m1_dt20_finite_width,thermal,unit_load_linear_thermal_preflight,False,,,,,,,,True,60,8.699999999999998e-08,5.219999999999999e-06,,,,,2.0,1,20,False,"[6, 10, 10]",600,4,118599.82053762491,118599.82053762494,3.725714692720345e-06,1.4942853072796356e-06,3.3306690738754807e-15,1.7849353294630885e-15,1.3524839170198233e-15,0,0.0
thermal_d2.0_m3_dt20_finite_width,thermal,unit_load_linear_thermal_preflight,False,,,,,,,,True,60,8.699999999999998e-08,5.219999999999999e-06,,,,,2.0,3,20,False,"[12, 22, 22]",5808,36,86506.8920649879,92071.74428612992,3.774492648837394e-06,1.445507351162513e-06,1.0325074129014063e-14,8.762409799182496e-15,2.6280217533821825e-15,0,0.0
thermal_d2.0_m3_dt10_finite_width,thermal,unit_load_linear_thermal_preflight,False,,,,,,,,True,30,1.7399999999999997e-07,5.219999999999999e-06,,,,,2.0,3,10,False,"[12, 22, 22]",5808,36,86504.46262076391,92069.3145361012,3.749509792912931e-06,1.4704902070868644e-06,2.5424107263916732e-14,1.947202177596131e-14,2.720768999101637e-15,0,0.0
thermal_d2.0_m3_dt40_finite_width,thermal,unit_load_linear_thermal_preflight,False,,,,,,,,True,120,4.349999999999999e-08,5.219999999999999e-06,,,,,2.0,3,40,False,"[12, 22, 22]",5808,36,86508.0989132842,92072.95128160821,3.7871828626309885e-06,1.432817137368862e-06,1.9206858326015577e-14,1.4279482635704888e-14,2.0743622487796724e-15,0,0.0
thermal_d2.0_m3_dt40_xz,out_of_plane,unit_load_linear_thermal_preflight,False,,,,,,,,True,120,4.349999999999999e-08,5.219999999999999e-06,,,,,2.0,3,40,True,"[12, 1, 22]",264,6,144518.64785544752,146130.43655191743,4.146221236659758e-06,1.073778763340101e-06,2.5757174171304294e-14,1.3468148395039825e-14,2.401012875216564e-16,0,0.0
