protocol,noise,seed,median_parameter_error,max_parameter_error,success,objective_value,finite_result,claim_status
short_pulse,0.0,2026,0.24639043358933516,0.7106773033677221,False,0.0019080893265509445,True,failed_but_informative
short_pulse,0.0,2027,0.24639043358933516,0.7106773033677221,False,0.0019080893265509445,True,failed_but_informative
short_pulse,0.02,2026,0.24748580354169586,0.7070106896079607,False,0.001941444305929528,True,failed_but_informative
short_pulse,0.02,2027,0.23995970050748344,0.7145753453201243,False,0.0018108988734943383,True,failed_but_informative
short_pulse,0.05,2026,0.24912885847022603,0.7015107689683198,False,0.0019929161582970347,True,failed_but_informative
short_pulse,0.05,2027,0.23031360088471392,0.7204224082487277,False,0.0016812016663468737,True,failed_but_informative
ltp_ltd,0.0,2026,0.24507963588780948,0.4378692544328564,False,0.002402472733951612,True,failed_but_informative
ltp_ltd,0.0,2027,0.24507963588780948,0.4378692544328564,False,0.002402472733951612,True,failed_but_informative
ltp_ltd,0.02,2026,0.24534897627142194,0.4380971466113362,False,0.0024026699347174663,True,failed_but_informative
ltp_ltd,0.02,2027,0.24472294987991935,0.43746586457789205,False,0.00240448302496846,True,failed_but_informative
ltp_ltd,0.05,2026,0.24512270665367697,0.43843898487906807,False,0.002403043149268669,True,failed_but_informative
ltp_ltd,0.05,2027,0.24418792086807414,0.4368607797954448,False,0.0024075160323084274,True,failed_but_informative
combined,0.0,2026,0.04568333279966895,0.1076682950548656,True,0.0009378195123494601,True,qualified_supported
combined,0.0,2027,0.04568333279966895,0.1076682950548656,True,0.0009378195123494601,True,qualified_supported
combined,0.02,2026,0.03466547314514065,0.09994439871002729,True,0.0009593525596168564,True,qualified_supported
combined,0.02,2027,0.04251388530422426,0.11215102671840735,True,0.0009562795431433228,True,qualified_supported
combined,0.05,2026,0.02500304158536898,0.0883585541927718,True,0.001015712145851763,True,qualified_supported
combined,0.05,2027,0.03836797279651521,0.11887512421370079,True,0.0010496303208442207,True,qualified_supported
