audit,family,profile,pulse,activated,finite,Vth,Vhold,threshold_valid,max_delta_T,conductance_ratio,hysteresis_area,substrate_is_thermal_only,used_autonomous_rc_circuit
profile,vo2,normalized_activated,activation_triangle,True,True,0.32105845987122716,0.0,True,14.538974539219282,1.1419223279905326,1.1082820158563388e-05,True,False
profile,vo2,normalized_activated,minor_loop,True,True,0.03155036943120491,0.024538302622418028,True,27.575073725513846,1.0880316489173152,0.0005723218689594071,True,False
profile,vo2,normalized_activated,rc_oscillator,True,True,0.0,0.0,False,25.78520577533976,1.0880375017320334,4.4291730730620964e-05,True,True
profile,vo2,literature_anchored,activation_triangle,True,True,0.12807604994820382,0.0,True,15.266676276553596,1.087348107357108,4.047950166723148e-06,True,False
profile,vo2,literature_anchored,minor_loop,True,True,0.03155897581383438,0.024550371805456574,True,27.57507372551396,1.0876709100558555,0.000572091508422623,True,False
profile,vo2,literature_anchored,rc_oscillator,True,True,0.0,0.0,False,25.78520577533976,1.0877292005700536,4.405036505630341e-05,True,True
profile,nbo2,pf_electrothermal,activation_triangle,True,True,1.103710328115918,0.24333633070781796,True,91.59465934573507,33.08492011360185,6.759034151282132e-06,True,False
profile,nbo2,pf_electrothermal,minor_loop,False,True,0.0,0.0,False,101.79388667128956,5.053358751724201,1.886588788784851e-05,True,False
profile,nbo2,pf_electrothermal,rc_oscillator,True,True,0.0,0.0,False,182.257314129819,33.898518886226846,1.1657608047067912e-06,True,True
snse_range,nbo2,"k=0.2,sigma=1000.0",activation_triangle,True,True,1.1084910914459942,0.2445029625956244,True,90.69860706357156,32.81854774631877,6.642944839523857e-06,True,False
snse_range,nbo2,"k=0.2,sigma=10000.0",activation_triangle,True,True,1.108207124971876,0.24445711827364153,True,90.79812272146438,32.865248647313344,6.652815422125021e-06,True,False
snse_range,nbo2,"k=0.2,sigma=100000.0",activation_triangle,True,True,1.108178695953519,0.24445252557797026,True,90.80809639699277,32.86993143128772,6.6538047611149936e-06,True,False
snse_range,nbo2,"k=0.35,sigma=1000.0",activation_triangle,True,True,1.1084910914459942,0.2445029625956244,True,90.69860706357156,32.81854774631877,6.642944839523857e-06,True,False
snse_range,nbo2,"k=0.35,sigma=10000.0",activation_triangle,True,True,1.108207124971876,0.24445711827364153,True,90.79812272146438,32.865248647313344,6.652815422125021e-06,True,False
snse_range,nbo2,"k=0.35,sigma=100000.0",activation_triangle,True,True,1.108178695953519,0.24445252557797026,True,90.80809639699277,32.86993143128772,6.6538047611149936e-06,True,False
snse_range,nbo2,"k=0.8,sigma=1000.0",activation_triangle,True,True,1.1084910914459942,0.2445029625956244,True,90.69860706357156,32.81854774631877,6.642944839523857e-06,True,False
snse_range,nbo2,"k=0.8,sigma=10000.0",activation_triangle,True,True,1.108207124971876,0.24445711827364153,True,90.79812272146438,32.865248647313344,6.652815422125021e-06,True,False
snse_range,nbo2,"k=0.8,sigma=100000.0",activation_triangle,True,True,1.108178695953519,0.24445252557797026,True,90.80809639699277,32.86993143128772,6.6538047611149936e-06,True,False
barrier_thickness,nbo2,thickness_scale=0.5,activation_triangle,True,True,1.1119167910008614,0.24523328360981886,True,88.73181984507858,32.51457130462973,6.569153797883326e-06,True,False
barrier_thickness,nbo2,thickness_scale=1.0,activation_triangle,True,True,1.1127189806137612,0.245786072002016,True,87.6250160425119,32.31655680816112,6.473067163178078e-06,True,False
barrier_thickness,nbo2,thickness_scale=1.5,activation_triangle,True,True,1.1134518813811058,0.2463281608667697,True,86.5837519276505,32.133097344314606,6.380936008602081e-06,True,False
barrier_position_presence,nbo2,pcm_plus_electrodes,activation_triangle,True,True,0.9561381040123047,0.23214182699750802,True,189.24705571303576,57.6144444085685,1.0566892373459576e-05,True,False
barrier_position_presence,nbo2,full_stack_with_SnSe_barrier,activation_triangle,True,True,1.1039592784330705,0.24352515701962055,True,90.58566048602808,32.858119241933196,6.709053167943457e-06,True,False
